Track,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Cry Baby,1963,239000,4,0.686,0.691,5,-4.616,0,0.0371,0.257,0.0,0.145,0.477,95.046,71,Pop
Hate Me Now (feat. Diddy),1999,284000,4,0.678,0.77,9,-4.399,0,0.222,0.00583,0.0,0.109,0.412,90.0,57,Rap
Domo23,2013,158760,4,0.727,0.565,1,-5.564,0,0.356,0.167,0.0,0.262,0.597,133.094,55,Rap
No Vaseline,1991,313546,4,0.575,0.927,4,-5.511,0,0.395,0.0383,0.0,0.0623,0.473,105.567,67,Rap
Welcome Back,1976,262000,4,0.764,0.744,1,-2.34,1,0.181,0.0109,0.000122,0.318,0.511,88.426,52,Pop
Got To Get You Into My Life,1976,149000,4,0.521,0.524,0,-6.136,1,0.0302,0.42,9.27e-06,0.0838,0.711,136.679,57,Pop
Been Caught Stealing,1990,214706,4,0.639,0.929,0,-4.762,1,0.212,0.00326,0.0501,0.242,0.688,103.758,53,Alt. Rock
Roni,1989,358000,4,0.72,0.703,9,-11.815,1,0.0377,0.0129,0.000111,0.054,0.924,146.704,55,Pop
Internet Friends,2011,301122,4,0.64,0.903,5,-3.042,0,0.185,0.00105,0.0503,0.171,0.152,128.079,56,EDM
Tell Him,1963,280000,4,0.655,0.647,1,-9.465,1,0.0903,0.19,0.00877,0.0412,0.931,80.077,62,Pop
Fancy,1990,299733,4,0.674,0.517,11,-11.225,1,0.0726,0.226,0.0,0.0697,0.482,94.98,64,Country
Night Patrol,1990,283866,4,0.75,0.563,9,-11.679,1,0.0302,0.419,1.67e-05,0.0984,0.739,114.617,22,Blues
I Wanna Be Sedated,1978,149786,4,0.56,0.965,11,-2.341,1,0.0409,0.121,6.23e-06,0.169,0.964,162.825,69,Alt. Rock
Lucky Man,1997,293586,4,0.407,0.663,2,-7.591,1,0.0305,0.255,0.000166,0.0913,0.211,75.989,66,Alt. Rock
Daddy’s Home,1973,197000,4,0.327,0.816,8,-7.88,1,0.318,0.804,0.00031,0.974,0.636,205.747,30,Pop
New Direction,1988,149133,4,0.356,0.983,6,-4.354,1,0.136,0.00321,2.39e-06,0.246,0.19,137.374,42,Punk
Chop Suey!,2001,210240,4,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,84,Metal
I'm Eighteen,1971,180000,4,0.618,0.413,4,-14.164,0,0.0302,0.249,0.0517,0.131,0.531,97.84,55,Metal
Mummy Dust,2015,247373,4,0.505,0.949,0,-4.862,1,0.0504,0.000545,0.848,0.298,0.355,160.019,51,Metal
Dance This Mess Around,1979,276560,4,0.608,0.712,3,-7.957,1,0.0821,0.0168,0.000369,0.129,0.542,161.072,44,Alt. Rock
Allison Road,1992,199240,4,0.544,0.895,2,-7.253,1,0.0457,0.00666,0.0,0.105,0.932,134.65,49,Alt. Rock
Baby Come Back,1978,214000,4,0.645,0.604,5,-9.904,0,0.118,0.0713,0.0,0.129,0.545,156.436,60,Pop
Our Love,1978,125000,4,0.271,0.931,1,-6.81,0,0.0785,0.00099,0.0,0.182,0.382,142.407,55,Pop
"Epitaph - Including ""March for No Reason"" and ""Tomorrow and Tomorrow""",1969,526822,4,0.284,0.318,4,-12.919,0,0.0319,0.00721,0.00864,0.0858,0.0924,131.699,53,Alt. Rock
I Want to Do More,1956,172546,4,0.775,0.508,0,-8.395,1,0.0718,0.534,0.0,0.162,0.787,175.35,18,R&B
I Need You So Bad,1967,296506,4,0.438,0.359,9,-14.602,1,0.0326,0.735,0.00118,0.0968,0.901,101.703,28,Blues
Slow Drag (Cincinnati Flow Rag) - Instrumental,1957,144373,4,0.53,0.453,7,-8.94,1,0.0446,0.712,0.898,0.095,0.933,169.852,33,Blues
Down On The Trail Of Achin' Hearts,1951,132640,3,0.556,0.31,9,-8.974,1,0.0281,0.84,0.0,0.0848,0.373,129.804,3,Country
T Model Blues,1954,171733,3,0.572,0.0425,5,-23.696,1,0.0518,0.728,1.22e-05,0.0677,0.391,179.745,7,Blues
The Glory of Man,1983,177560,4,0.541,0.736,4,-11.999,1,0.191,0.000483,0.767,0.0963,0.931,172.687,34,Punk
Glad All Over,1964,163000,4,0.461,0.803,2,-8.35,1,0.0601,0.139,0.0,0.0656,0.891,137.656,45,Pop
Tempus Fugit,1951,145800,4,0.34,0.621,2,-10.954,1,0.0313,0.801,0.0291,0.139,0.827,75.81,23,Jazz
When The Saints Go Marching In,1951,181933,4,0.581,0.845,5,-8.141,1,0.0635,0.871,0.529,0.395,0.751,123.214,19,Jazz
You’re The One That I Want,1978,244000,4,0.284,0.903,5,-4.845,0,0.0876,0.00655,1.3e-05,0.178,0.145,131.28,7,Pop
Silver Wings,1969,165946,4,0.544,0.281,4,-14.573,1,0.0276,0.805,0.000103,0.148,0.44,105.319,48,Country
Early Mornin' Rain,1970,217000,4,0.588,0.371,0,-11.867,1,0.0324,0.867,0.0108,0.168,0.623,127.827,29,Rock
1880 Or So,1978,221840,4,0.67,0.594,6,-12.591,1,0.0277,0.209,0.171,0.0713,0.205,134.93,39,Punk
Shop Around,1961,170000,4,0.552,0.7,7,-4.533,1,0.0295,0.809,0.0,0.805,0.901,132.005,47,Pop
Heaven Beside You,1995,327893,4,0.551,0.724,10,-7.09,0,0.032,0.00451,0.000167,0.116,0.559,111.243,61,Metal
After Life (feat. Stacy Barthe),2014,293333,4,0.604,0.903,0,-4.231,1,0.0449,0.000176,0.53,0.0586,0.078,125.989,46,EDM
Refuse / Resist,1993,199226,4,0.475,0.953,2,-6.951,1,0.15,0.000291,0.00338,0.104,0.232,118.033,58,Metal
The Demon's Name Is Surveillance,2008,279333,3,0.347,0.924,8,-3.996,1,0.0735,1e-06,0.928,0.243,0.185,161.962,39,Metal
Bored Teenagers,1978,104613,3,0.247,0.942,9,-7.189,0,0.127,0.0139,5.37e-05,0.0772,0.835,176.096,29,Punk
"Woman,Woman",1968,172000,4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,84,Pop
The Love We Had (Stays On My Mind),1971,290480,4,0.308,0.369,7,-12.279,1,0.0315,0.42,1.21e-06,0.143,0.269,141.794,33,R&B
White Boy,1993,146000,4,0.494,0.897,4,-7.753,1,0.0607,0.00124,0.0168,0.215,0.703,129.805,41,Punk
Smiling Faces Sometimes,1971,198000,4,0.551,0.461,11,-11.778,1,0.0255,0.252,2.39e-06,0.0541,0.739,105.155,49,Pop
She's Got the Answer,1991,348000,3,0.514,0.555,4,-10.117,0,0.0295,0.38,4.73e-05,0.0526,0.202,89.968,9,Rock
Shotgun Boogie,1955,145080,4,0.765,0.407,5,-9.857,1,0.107,0.915,1.08e-05,0.386,0.927,94.238,0,Country
Kodachrome,1973,215000,4,0.592,0.705,1,-10.276,0,0.0287,0.0291,1.97e-05,0.0456,0.902,135.754,63,Pop
Magic Man,1976,328000,4,0.435,0.444,0,-12.816,1,0.0336,0.159,0.000697,0.457,0.734,103.817,59,Pop
Condition Critical,1984,301000,4,0.4,0.52,7,-14.296,1,0.0446,0.0171,0.000707,0.131,0.505,138.622,29,Metal
Jumpin’ Jack Flash,1968,223000,4,0.592,0.911,3,-6.641,1,0.0531,0.0812,0.634,0.0988,0.662,137.252,61,Pop
Who Is It,1993,225000,4,0.798,0.639,4,-7.391,0,0.0424,0.00141,0.0,0.0836,0.421,129.443,60,Pop
Keep Away,1998,290066,4,0.363,0.921,2,-5.192,1,0.0726,3.87e-05,0.00585,0.476,0.446,99.265,56,Metal
Down in Flames,2014,235000,4,0.339,0.866,9,-4.88,0,0.0339,0.0804,0.331,0.282,0.599,160.137,27,Rock
Do I See Color,2013,231267,4,0.586,0.958,8,-4.013,0,0.0517,0.00024,0.581,0.365,0.676,139.956,38,EDM
Step It up and Go,1992,175000,4,0.623,0.484,10,-12.69,1,0.0269,0.411,0.018,0.235,0.892,100.727,14,Rock
Give Me Just A Little More Time,1970,162000,4,0.576,0.658,0,-5.231,1,0.0344,0.0613,0.0,0.0691,0.629,63.059,41,Pop
Flash To The Rescue,1980,163000,4,0.616,0.556,9,-15.313,1,0.137,0.185,0.625,0.288,0.0759,113.361,6,Rock
If The Kids Are United,1978,217306,4,0.443,0.976,2,-10.368,1,0.0645,0.0326,2.29e-06,0.0895,0.227,141.652,36,Punk
Katmandu,1975,367000,4,0.616,0.943,9,-3.87,1,0.0684,0.211,1.83e-05,0.278,0.937,140.366,43,Rock
Save A Little Love,2018,202930,4,0.625,0.91,0,-2.583,0,0.109,0.0106,0.0,0.633,0.326,122.013,38,EDM
"Never,Never Gonna Give You Up",1974,213000,4,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,79,Pop
Don’t Stop Believin’,1982,181000,4,0.448,0.143,4,-21.261,1,0.0597,0.993,0.861,0.112,0.184,185.904,49,Pop
Corporate Deathburger - Millions of Dead Cops - Full Length,1983,78444,4,0.485,0.991,0,-4.002,1,0.186,0.0127,0.0,0.067,0.359,104.198,21,Punk
Given A Chance,1996,261493,4,0.667,0.616,11,-8.218,1,0.0342,0.27,0.0,0.0434,0.665,77.984,27,R&B
"Ice Cream (feat. Ghostface Killah,Method Man & Cappadonna)",1995,253226,4,0.683,0.902,1,-7.389,0,0.291,0.219,0.000761,0.226,0.724,90.447,56,Rap
Bring The Boys Home,1971,87000,4,0.33,0.283,0,-15.971,1,0.061,0.575,0.0947,0.235,0.287,157.963,49,Pop
The Hunter,1985,248173,4,0.542,0.896,7,-8.978,1,0.0488,0.0173,2.24e-05,0.317,0.457,105.787,42,Metal
I'm Gonna Sit Right Down (And Write Myself a Letter),1947,169440,4,0.723,0.253,1,-17.541,1,0.0453,0.944,0.848,0.0894,0.909,80.851,23,Blues
Do I Have To Say The Words?,1992,371000,4,0.504,0.586,7,-9.411,1,0.0288,0.0822,2.44e-06,0.161,0.47,128.055,42,Pop
Letters from Earth,1992,256000,4,0.424,0.854,8,-6.941,1,0.0457,0.0341,2.59e-05,0.0481,0.472,121.655,23,Rock
So Amazing,1986,222546,4,0.625,0.312,6,-14.797,1,0.0334,0.655,0.000181,0.287,0.319,128.575,53,R&B
Monster,1992,176573,4,0.629,0.802,9,-8.867,1,0.0321,8.1e-06,0.704,0.141,0.857,121.159,31,Punk
Need A Favor,1927,197400,4,0.502,0.771,6,-4.246,1,0.032,0.0123,1.82e-05,0.0801,0.557,157.978,77,Jazz
Billie's Bounce,1945,189560,4,0.554,0.319,0,-10.156,0,0.0493,0.695,0.014,0.0918,0.634,156.556,27,Jazz
Making Love,1982,341000,4,0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283,71,Pop
Turbo Lover - Remastered,1986,334000,4,0.551,0.876,9,-7.02,1,0.037,0.174,9.04e-06,0.397,0.746,151.575,55,Metal
Soma - 2011 Remaster,1993,398240,4,0.291,0.281,7,-11.798,1,0.0324,0.0241,0.83,0.115,0.0981,134.683,48,Alt. Rock
Tutti Frutti,1955,144226,4,0.555,0.658,5,-3.866,1,0.0541,0.793,0.0,0.118,0.937,184.835,64,R&B
The Light,2000,261693,4,0.939,0.727,4,-4.349,0,0.235,0.0343,0.0,0.0855,0.66,96.968,52,Rap
If I Were a Boy,2008,249146,4,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,64,R&B
Lester Leaps In (feat. Lester Young),1939,191106,4,0.525,0.0711,2,-23.405,0,0.0655,0.984,0.903,0.111,0.403,124.102,13,Jazz
Freaks And Geeks,2011,217103,4,0.667,0.873,10,-5.605,1,0.314,0.124,0.0,0.0725,0.799,81.052,56,Rap
Hallucinations,1953,146440,4,0.473,0.169,5,-18.467,1,0.0558,0.995,0.956,0.119,0.548,123.27,20,Jazz
Not Going Away,2007,272000,4,0.457,0.91,7,-4.254,1,0.0438,0.0034,0.0,0.365,0.538,83.959,40,Rock
Talk To Me Baby (I Can’t Hold Out),1960,135106,4,0.492,0.746,2,-7.556,1,0.0768,0.799,0.0942,0.0838,0.86,118.893,32,Blues
Edison's Medicine,1994,286905,4,0.482,0.928,7,-7.387,1,0.048,0.000682,0.00126,0.375,0.363,129.431,39,Metal
The Wild Boys,1985,257000,4,0.741,0.837,11,-7.622,0,0.0638,0.404,0.0,0.138,0.583,115.69,56,Pop
Rockin’ Pneumonia And The Boogie Woogie Flu,1973,210000,4,0.595,0.768,0,-10.372,1,0.0283,0.224,4.87e-05,0.3,0.971,110.829,37,Pop
25 or 6 to 4,1988,241000,4,0.407,0.569,9,-7.452,1,0.0338,0.43,0.0,0.144,0.168,172.986,24,Rock
The Ballad Of Peter Pumpkinhead (feat. Ellen Reid),1996,224373,4,0.498,0.934,2,-5.323,1,0.103,0.0314,3.17e-05,0.226,0.531,128.017,33,Alt. Rock
Let’s Stay Together,1972,199000,4,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,76,Pop
Here Comes Santa Claus (Right Down Santa Claus Lane),1947,150266,4,0.834,0.371,1,-11.99,1,0.0358,0.799,0.0,0.275,0.976,96.628,48,Country
Touch My Body,2008,204733,4,0.714,0.665,4,-7.736,0,0.0509,0.0996,0.0,0.226,0.842,78.515,71,R&B
Run Joe,1949,202493,4,0.866,0.362,10,-13.897,1,0.115,0.862,0.0,0.15,0.957,100.604,18,R&B
Rhythme Futur,1940,160373,4,0.436,0.693,0,-11.375,1,0.037,0.974,0.902,0.0963,0.593,165.695,18,Jazz
Big Empty,1994,293986,4,0.335,0.716,7,-7.023,1,0.0406,0.0346,0.0,0.107,0.3,121.791,42,Alt. Rock
Sun Models,2014,160000,4,0.681,0.485,8,-9.185,0,0.0755,0.182,0.805,0.0907,0.477,120.005,64,EDM
Tumbling Tumbleweeds,1934,192973,4,0.355,0.236,10,-12.977,1,0.0316,0.962,8.15e-05,0.133,0.247,99.252,9,Country
We Will Rock You/We Are The Champions,1978,231000,3,0.281,0.634,0,-5.808,1,0.0391,0.236,1.3e-05,0.0386,0.329,95.248,31,Pop
Annie's Song,1974,180693,3,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,70,Country
Disciples of the Watch,1988,305666,4,0.324,0.871,9,-11.059,0,0.0471,0.000136,0.679,0.342,0.447,99.381,29,Metal
Mrs. Rita,1992,265866,4,0.508,0.807,4,-8.71,0,0.0318,8.12e-05,1.2e-05,0.109,0.817,142.777,29,Alt. Rock
Our Winter Love,1963,233000,4,0.535,0.164,7,-16.869,1,0.0304,0.806,0.202,0.111,0.196,136.011,23,Pop
Boogie Woogie Bugle Boy,1973,161000,4,0.64,0.479,7,-11.55,1,0.467,0.881,0.000171,0.0973,0.79,166.868,49,Pop
Key Largo,1982,198000,4,0.503,0.659,0,-6.829,1,0.0356,0.443,0.0,0.153,0.33,101.668,55,Pop
I Feel So Good,1966,114573,4,0.836,0.616,11,-6.614,0,0.0524,0.508,2.93e-05,0.133,0.891,130.04,36,Blues
Mary Jane,1978,297346,4,0.537,0.82,11,-7.011,0,0.127,0.256,1.93e-06,0.432,0.881,94.429,59,R&B
Evening In Paris,1959,201613,4,0.564,0.162,6,-12.06,1,0.0331,0.984,0.358,0.125,0.57,62.56,49,Jazz
I Never Loved A Man (THE Way I Love You),1967,171000,4,0.657,0.371,5,-9.186,1,0.0359,0.367,0.0459,0.157,0.709,134.867,53,Pop
Sugar,1998,153800,4,0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,74,Alt. Rock
Blues With A Feeling,1969,289960,4,0.491,0.283,4,-16.36,1,0.0496,0.419,0.00504,0.0846,0.433,71.695,7,Blues
Nazi Punks Fuck Off,1981,63390,3,0.397,0.923,10,-4.029,0,0.201,0.00132,0.0,0.261,0.676,112.666,49,Alt. Rock
Fade To Black,1984,417000,4,0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,50,Metal
Till the Sun Comes up Again,1972,132000,4,0.465,0.251,7,-15.24,0,0.0292,0.744,1e-05,0.119,0.454,103.787,37,Rock
Mockingbird,1963,250000,4,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,86,Pop
I’ll Be There,1970,232000,4,0.527,0.852,2,-6.18,1,0.0456,0.0209,3.01e-06,0.187,0.254,112.491,61,Pop
Whisper Whisper,1969,206000,4,0.655,0.489,2,-11.34,1,0.0509,0.0824,0.0278,0.0707,0.622,85.146,29,Rock
Muskrat Love,1976,228000,4,0.659,0.257,9,-16.552,1,0.0382,0.89,0.00014,0.252,0.222,102.977,41,Pop
Chains of Love (with Van Piano Man Walls Orchestra),1951,203053,4,0.423,0.415,5,-7.975,1,0.0323,0.926,0.000947,0.132,0.495,142.229,6,Blues
Ditty,1993,129000,4,0.909,0.633,1,-7.923,1,0.307,0.0921,0.63,0.238,0.433,145.075,55,Pop
Numbers On The Boards,2013,163586,4,0.808,0.557,0,-5.538,0,0.118,0.158,0.0,0.0906,0.383,87.856,48,Rap
Go Now,1965,246000,4,0.419,0.957,7,-3.413,1,0.136,0.000774,0.0,0.175,0.457,174.094,67,Pop
Typical Male,1986,256826,4,0.762,0.745,1,-7.772,0,0.0407,0.0172,0.0137,0.0612,0.794,106.013,48,R&B
I’m Your Baby Tonight,1991,251000,4,0.496,0.571,5,-9.958,0,0.0335,0.43,0.0,0.0332,0.25,150.944,54,Pop
You Take My Breath Away,1979,197000,4,0.313,0.6,11,-7.913,1,0.0357,0.476,2.56e-05,0.523,0.272,141.912,47,Pop
Be Together,2015,233010,4,0.494,0.627,6,-6.141,0,0.0324,0.00142,0.0,0.619,0.197,79.961,49,EDM
Laughter In The Rain,1975,170000,4,0.495,0.613,5,-9.463,1,0.0239,0.348,0.0058,0.0406,0.924,100.535,63,Pop
I Was Country When Country Wasn't Cool,1981,223000,4,0.607,0.389,0,-17.901,1,0.0405,0.375,0.000193,0.953,0.509,105.01,47,Country
Dim All The Lights,1979,280800,4,0.79,0.624,7,-13.953,1,0.0322,0.0322,0.00114,0.187,0.82,120.56,44,R&B
River Deep - Mountain High,1966,214880,4,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,52,R&B
King Porter Stomp,1923,156866,4,0.452,0.139,1,-21.803,1,0.0466,0.996,0.929,0.224,0.674,96.372,31,Jazz
How Long?,1975,200000,4,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,71,Pop
Macarena (BAYSIDE Boys Mix),1997,204000,4,0.766,0.74,1,-8.581,1,0.0417,0.0185,0.695,0.0576,0.902,112.979,10,Pop
He Will Break Your Heart,1961,170000,4,0.612,0.601,8,-9.095,0,0.0425,0.22,0.0,0.446,0.692,130.939,31,Pop
Good Luck Charm,1962,264000,4,0.634,0.653,11,-5.89,1,0.0689,0.434,0.0,0.109,0.5,116.156,42,Pop
Broken Bones,2006,181440,4,0.32,0.979,4,-3.52,1,0.0966,0.000225,9.82e-06,0.214,0.434,105.425,54,Punk
Let It Whip,1982,281000,4,0.82,0.838,9,-6.86,0,0.041,0.109,0.00228,0.0452,0.947,132.125,56,Pop
NEW MAGIC WAND,2019,195320,4,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,78,Rap
Wide Open Spaces,1998,223832,4,0.563,0.544,4,-6.102,1,0.0306,0.577,0.0,0.128,0.602,179.351,68,Country
Hero,1993,257920,4,0.533,0.272,9,-12.9,1,0.031,0.667,0.0,0.111,0.133,120.02,69,R&B
Jimmie the Kid,1931,167746,4,0.689,0.239,7,-9.484,1,0.0935,0.951,0.0,0.121,0.509,131.625,8,Country
Surrender,1961,253000,4,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,67,Pop
Foolish Little Girl,1963,135000,4,0.802,0.527,7,-12.24,0,0.0414,0.749,6.6e-06,0.265,0.926,109.755,35,Pop
Time,2019,240428,4,0.677,0.688,0,-4.058,0,0.0633,0.138,0.0,0.114,0.198,98.049,68,Rap
Jelly Roll,1938,171733,4,0.637,0.321,8,-9.041,1,0.0772,0.876,0.000125,0.143,0.759,157.399,35,Jazz
"Working My Way Back To You/Forgive Me,Girl",1980,245000,4,0.837,0.703,9,-9.385,0,0.0415,0.415,2.81e-05,0.153,0.914,121.556,52,Pop
No More Tears,1991,443000,4,0.346,0.749,6,-6.506,1,0.035,0.00167,8.86e-05,0.648,0.315,102.591,71,Metal
Baby-Baby-Baby,1992,315000,4,0.679,0.597,11,-8.601,0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,50,Pop
Low Rider,1975,190826,4,0.812,0.644,0,-10.761,1,0.0493,0.0877,0.785,0.0563,0.989,140.075,70,R&B
Baby Don’t Forget My Number,1989,249000,4,0.852,0.649,6,-12.877,0,0.0749,0.00537,0.0029,0.157,0.845,100.303,49,Pop
Give It To You,1999,289000,4,0.83,0.655,7,-7.072,1,0.0544,0.0552,1.09e-06,0.0567,0.653,134.869,41,Pop
You Are My Sunshine,1963,82000,4,0.574,0.121,10,-14.275,1,0.0426,0.978,1.04e-06,0.353,0.657,115.165,73,Pop
There’ll Be Sad Songs (TO Make You Cry),1986,253000,4,0.443,0.319,0,-13.47,1,0.0332,0.662,2.48e-06,0.165,0.186,159.718,0,Pop
The Bitterest Pill (I Ever Had To Swallow),1982,213320,4,0.485,0.675,2,-10.317,1,0.0314,0.00717,0.0,0.087,0.867,112.385,44,Punk
One Night In Bangkok,1985,235000,4,0.947,0.457,2,-9.653,0,0.0686,0.134,0.000506,0.0643,0.888,108.675,48,Pop
Killer Joe,1969,311866,4,0.503,0.297,2,-16.374,0,0.0314,0.229,0.00119,0.0831,0.356,124.965,24,Jazz
She Drives Me Crazy,1989,215000,4,0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,74,Pop
Chasin' That Neon Rainbow,1990,185373,4,0.726,0.565,7,-10.355,1,0.033,0.21,0.0,0.0941,0.849,149.004,58,Country
Yesterday,1966,250960,4,0.437,0.215,2,-14.125,1,0.0401,0.962,0.283,0.121,0.14,93.149,0,Jazz
Starman,1972,254000,4,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,77,Rock
When It’s Love,1988,269000,4,0.727,0.48,5,-9.278,0,0.0987,0.444,0.0,0.118,0.369,120.025,58,Pop
Never Keeping Secrets,1994,293000,4,0.693,0.648,11,-6.411,0,0.0248,0.0949,0.0,0.14,0.319,113.117,44,Pop
"Ruby,Don't Take Your Love To Town",1974,161586,4,0.58,0.603,0,-11.924,1,0.0624,0.767,0.0138,0.793,0.859,115.323,6,Country
Atmosphere,1980,251866,4,0.611,0.435,6,-10.791,1,0.0308,0.214,0.474,0.102,0.436,120.066,30,Alt. Rock
Sloop John B,1966,180000,4,0.567,0.745,8,-5.412,1,0.0264,0.402,0.0,0.0795,0.903,125.575,54,Pop
The Little Old Lady From Pasadena,1964,166000,4,0.478,0.817,3,-5.48,1,0.0316,0.548,4e-05,0.0444,0.943,145.946,40,Pop
Keep On Dancing,1965,148000,4,0.302,0.786,2,-4.968,1,0.133,0.0282,0.0,0.0816,0.383,207.683,50,Pop
White Noise,2012,277520,4,0.682,0.845,10,-6.17,0,0.0509,0.0102,0.000108,0.345,0.874,119.966,53,EDM
Wargasm,1992,162440,4,0.366,0.858,7,-9.215,1,0.0413,1.29e-06,0.646,0.0747,0.816,159.278,42,Punk
Omen,1994,216026,4,0.545,0.953,7,-5.172,1,0.0441,0.000941,0.117,0.281,0.558,140.002,60,EDM
Lola Montez,2010,267680,4,0.513,0.875,2,-4.819,1,0.0336,0.000139,3.28e-05,0.0715,0.677,151.986,56,Metal
Only Love Can Break A Heart,1962,188000,3,0.732,0.239,2,-12.198,1,0.037,0.676,1.57e-06,0.0972,0.379,110.579,56,Pop
"Hello Muddah,Hello Faddah! (A Letter From Camp)",1963,174000,4,0.619,0.409,9,-12.887,1,0.201,0.81,0.0,0.641,0.626,115.591,6,Pop
Mama Said Knock You Out,1990,289693,4,0.791,0.759,10,-7.378,0,0.129,0.0314,0.674,0.255,0.619,102.382,62,Rap
Proper Education - Radio Edit,2007,198567,4,0.537,0.937,0,-4.543,1,0.0523,0.00102,0.035,0.0917,0.324,124.938,53,EDM
Walk with Me In Hell,2006,311266,4,0.272,0.984,0,-4.546,0,0.137,7.01e-05,0.00345,0.345,0.0946,110.336,58,Metal
Body And Soul,1944,378400,3,0.435,0.0901,8,-15.469,1,0.0582,0.809,1.19e-05,0.101,0.221,178.85,35,Jazz
Paper Trail$,2015,194738,4,0.548,0.829,1,-4.103,0,0.285,0.339,0.0,0.537,0.452,93.62,59,Rap
Let's Get Rocked,1992,295000,4,0.564,0.888,5,-6.763,1,0.0325,0.0109,6.68e-05,0.177,0.526,91.989,46,Metal
Oblivion,2009,346573,3,0.261,0.938,5,-5.125,0,0.086,9.92e-05,0.0106,0.301,0.256,132.47,50,Metal
Police Dog Blues,1929,172533,4,0.449,0.253,11,-17.895,0,0.0362,0.98,0.00412,0.251,0.682,89.566,29,Blues
How Can I Be Sure,1967,175000,3,0.231,0.455,2,-8.06,1,0.0296,0.841,0.0,0.0823,0.391,166.705,39,Pop
Tracy’s Theme,1960,167000,4,0.686,0.776,1,-4.894,0,0.197,0.0803,3.63e-06,0.102,0.625,92.086,28,Pop
Jocelyn Flores,2017,119133,4,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,81,Rap
Androgynous,1984,190853,4,0.476,0.361,11,-9.312,1,0.0287,0.518,0.0,0.0817,0.389,106.484,43,Alt. Rock
She Floated Away,1985,218666,3,0.25,0.929,4,-10.45,0,0.0418,0.00594,0.215,0.318,0.245,94.485,17,Punk
I’m Your Man,1986,213000,4,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,86,Pop
Mr. Bojangles,1971,215000,3,0.444,0.757,11,-6.884,0,0.0541,0.699,0.0,0.329,0.554,154.26,52,Pop
It's a Sin - 2018 Remaster,1987,299253,4,0.544,0.86,0,-6.151,0,0.0489,0.206,0.00108,0.213,0.284,127.129,66,Alt. Rock
The Sky Is Crying,1960,166400,3,0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,49,Blues
How High (Remix),1995,282506,4,0.567,0.873,6,-7.341,0,0.671,0.222,0.0,0.299,0.718,186.226,44,Rap
Uncle Pen,1950,163866,4,0.587,0.437,9,-12.422,1,0.0452,0.555,0.00185,0.244,0.743,110.586,23,Country
Harbor Lights,1958,194866,4,0.26,0.29,5,-13.38,1,0.0293,0.913,0.000649,0.153,0.303,78.797,44,R&B
"Beneath,Between & Behind",1975,181000,4,0.484,0.854,2,-8.142,1,0.048,0.016,0.000128,0.382,0.669,113.201,35,Rock
Eat The Meek,1994,211666,4,0.701,0.676,5,-5.851,1,0.0519,0.00469,0.145,0.212,0.925,78.349,44,Punk
Love Me Like You Used To,1978,229600,4,0.58,0.155,10,-17.386,1,0.0278,0.729,0.0,0.0859,0.479,89.339,46,Country
"Bloodlust (7"" Version)",1982,179066,4,0.0742,0.897,8,-8.852,0,0.0702,0.000379,0.127,0.0938,0.207,200.479,24,Metal
Tracy,1969,273000,4,0.275,0.971,2,-4.66,1,0.154,0.025,0.00557,0.899,0.267,121.395,32,Pop
Empire State Express,1965,270706,4,0.664,0.416,0,-8.34,1,0.0398,0.815,1.07e-05,0.0787,0.649,99.727,23,Blues
Not Going Nowhere,1993,323480,3,0.579,0.542,2,-5.632,1,0.0304,0.163,0.0,0.71,0.482,150.032,14,R&B
C.I.D.,1979,131920,4,0.436,0.798,9,-7.031,1,0.0649,0.0014,0.244,0.0726,0.895,177.66,27,Punk
